x,p,rho,u,energy,rho_total
-5.0,100000.0,1.0,0.0,250000.00000000006,1.0
-4.979959919839679,100000.0,1.0,0.0,250000.00000000006,1.0
-4.959919839679359,100000.0,1.0,0.0,250000.00000000006,1.0
-4.939879759519038,100000.0,1.0,0.0,250000.00000000006,1.0
-4.919839679358717,100000.0,1.0,0.0,250000.00000000006,1.0
-4.8997995991983965,100000.0,1.0,0.0,250000.00000000006,1.0
-4.8797595190380765,100000.0,1.0,0.0,250000.00000000006,1.0
-4.859719438877756,100000.0,1.0,0.0,250000.00000000006,1.0
-4.839679358717435,100000.0,1.0,0.0,250000.00000000006,1.0
-4.819639278557114,100000.0,1.0,0.0,250000.00000000006,1.0
-4.799599198396794,100000.0,1.0,0.0,250000.00000000006,1.0
-4.779559118236473,100000.0,1.0,0.0,250000.00000000006,1.0
-4.759519038076152,100000.0,1.0,0.0,250000.00000000006,1.0
-4.739478957915832,100000.0,1.0,0.0,250000.00000000006,1.0
-4.719438877755511,100000.0,1.0,0.0,250000.00000000006,1.0
-4.69939879759519,100000.0,1.0,0.0,250000.00000000006,1.0
-4.679358717434869,100000.0,1.0,0.0,250000.00000000006,1.0
-4.659318637274549,100000.0,1.0,0.0,250000.00000000006,1.0
-4.6392785571142285,100000.0,1.0,0.0,250000.00000000006,1.0
-4.619238476953908,100000.0,1.0,0.0,250000.00000000006,1.0
-4.599198396793588,100000.0,1.0,0.0,250000.00000000006,1.0
-4.579158316633267,100000.0,1.0,0.0,250000.00000000006,1.0
-4.559118236472946,100000.0,1.0,0.0,250000.00000000006,1.0
-4.539078156312625,100000.0,1.0,0.0,250000.00000000006,1.0
-4.519038076152305,100000.0,1.0,0.0,250000.00000000006,1.0
-4.498997995991984,100000.0,1.0,0.0,250000.00000000006,1.0
-4.478957915831663,100000.0,1.0,0.0,250000.00000000006,1.0
-4.458917835671342,100000.0,1.0,0.0,250000.00000000006,1.0
-4.438877755511022,100000.0,1.0,0.0,250000.00000000006,1.0
-4.4188376753507015,100000.0,1.0,0.0,250000.00000000006,1.0
-4.398797595190381,100000.0,1.0,0.0,250000.00000000006,1.0
-4.37875751503006,100000.0,1.0,0.0,250000.00000000006,1.0
-4.35871743486974,100000.0,1.0,0.0,250000.00000000006,1.0
-4.338677354709419,100000.0,1.0,0.0,250000.00000000006,1.0
-4.318637274549098,100000.0,1.0,0.0,250000.00000000006,1.0
-4.298597194388778,100000.0,1.0,0.0,250000.00000000006,1.0
-4.278557114228457,100000.0,1.0,0.0,250000.00000000006,1.0
-4.258517034068136,100000.0,1.0,0.0,250000.00000000006,1.0
-4.238476953907815,100000.0,1.0,0.0,250000.00000000006,1.0
-4.218436873747495,100000.0,1.0,0.0,250000.00000000006,1.0
-4.198396793587174,100000.0,1.0,0.0,250000.00000000006,1.0
-4.1783567134268536,100000.0,1.0,0.0,250000.00000000006,1.0
-4.158316633266534,100000.0,1.0,0.0,250000.00000000006,1.0
-4.138276553106213,100000.0,1.0,0.0,250000.00000000006,1.0
-4.118236472945892,100000.0,1.0,0.0,250000.00000000006,1.0
-4.098196392785571,100000.0,1.0,0.0,250000.00000000006,1.0
-4.078156312625251,100000.0,1.0,0.0,250000.00000000006,1.0
-4.05811623246493,100000.0,1.0,0.0,250000.00000000006,1.0
-4.038076152304609,100000.0,1.0,0.0,250000.00000000006,1.0
-4.018036072144288,100000.0,1.0,0.0,250000.00000000006,1.0
-3.9979959919839683,100000.0,1.0,0.0,250000.00000000006,1.0
-3.9779559118236474,100000.0,1.0,0.0,250000.00000000006,1.0
-3.9579158316633265,100000.0,1.0,0.0,250000.00000000006,1.0
-3.937875751503006,100000.0,1.0,0.0,250000.00000000006,1.0
-3.9178356713426856,100000.0,1.0,0.0,250000.00000000006,1.0
-3.8977955911823647,100000.0,1.0,0.0,250000.00000000006,1.0
-3.877755511022044,100000.0,1.0,0.0,250000.00000000006,1.0
-3.8577154308617234,100000.0,1.0,0.0,250000.00000000006,1.0
-3.837675350701403,100000.0,1.0,0.0,250000.00000000006,1.0
-3.817635270541082,100000.0,1.0,0.0,250000.00000000006,1.0
-3.7975951903807617,100000.0,1.0,0.0,250000.00000000006,1.0
-3.777555110220441,100000.0,1.0,0.0,250000.00000000006,1.0
-3.7575150300601203,100000.0,1.0,0.0,250000.00000000006,1.0
-3.7374749498997994,100000.0,1.0,0.0,250000.00000000006,1.0
-3.717434869739479,100000.0,1.0,0.0,250000.00000000006,1.0
-3.6973947895791586,100000.0,1.0,0.0,250000.00000000006,1.0
-3.6773547094188377,100000.0,1.0,0.0,250000.00000000006,1.0
-3.657314629258517,100000.0,1.0,0.0,250000.00000000006,1.0
-3.6372745490981964,100000.0,1.0,0.0,250000.00000000006,1.0
-3.617234468937876,100000.0,1.0,0.0,250000.00000000006,1.0
-3.597194388777555,100000.0,1.0,0.0,250000.00000000006,1.0
-3.5771543086172346,100000.0,1.0,0.0,250000.00000000006,1.0
-3.557114228456914,100000.0,1.0,0.0,250000.00000000006,1.0
-3.5370741482965933,100000.0,1.0,0.0,250000.00000000006,1.0
-3.5170340681362724,100000.0,1.0,0.0,250000.00000000006,1.0
-3.496993987975952,100000.0,1.0,0.0,250000.00000000006,1.0
-3.4769539078156315,100000.0,1.0,0.0,250000.00000000006,1.0
-3.4569138276553106,100000.0,1.0,0.0,250000.00000000006,1.0
-3.4368737474949898,100000.0,1.0,0.0,250000.00000000006,1.0
-3.4168336673346693,100000.0,1.0,0.0,250000.00000000006,1.0
-3.396793587174349,100000.0,1.0,0.0,250000.00000000006,1.0
-3.376753507014028,100000.0,1.0,0.0,250000.00000000006,1.0
-3.3567134268537075,100000.0,1.0,0.0,250000.00000000006,1.0
-3.336673346693387,100000.0,1.0,0.0,250000.00000000006,1.0
-3.3166332665330662,100000.0,1.0,0.0,250000.00000000006,1.0
-3.2965931863727453,100000.0,1.0,0.0,250000.00000000006,1.0
-3.276553106212425,100000.0,1.0,0.0,250000.00000000006,1.0
-3.2565130260521045,100000.0,1.0,0.0,250000.00000000006,1.0
-3.2364729458917836,100000.0,1.0,0.0,250000.00000000006,1.0
-3.2164328657314627,100000.0,1.0,0.0,250000.00000000006,1.0
-3.1963927855711423,100000.0,1.0,0.0,250000.00000000006,1.0
-3.176352705410822,100000.0,1.0,0.0,250000.00000000006,1.0
-3.156312625250501,100000.0,1.0,0.0,250000.00000000006,1.0
-3.1362725450901805,100000.0,1.0,0.0,250000.00000000006,1.0
-3.11623246492986,100000.0,1.0,0.0,250000.00000000006,1.0
-3.096192384769539,100000.0,1.0,0.0,250000.00000000006,1.0
-3.0761523046092183,100000.0,1.0,0.0,250000.00000000006,1.0
-3.056112224448898,100000.0,1.0,0.0,250000.00000000006,1.0
-3.0360721442885774,100000.0,1.0,0.0,250000.00000000006,1.0
-3.0160320641282565,100000.0,1.0,0.0,250000.00000000006,1.0
-2.995991983967936,100000.0,1.0,0.0,250000.00000000006,1.0
-2.975951903807615,100000.0,1.0,0.0,250000.00000000006,1.0
-2.9559118236472948,100000.0,1.0,0.0,250000.00000000006,1.0
-2.935871743486974,100000.0,1.0,0.0,250000.00000000006,1.0
-2.9158316633266534,100000.0,1.0,0.0,250000.00000000006,1.0
-2.8957915831663326,100000.0,1.0,0.0,250000.00000000006,1.0
-2.875751503006012,100000.0,1.0,0.0,250000.00000000006,1.0
-2.8557114228456917,100000.0,1.0,0.0,250000.00000000006,1.0
-2.835671342685371,100000.0,1.0,0.0,250000.00000000006,1.0
-2.8156312625250504,100000.0,1.0,0.0,250000.00000000006,1.0
-2.7955911823647295,100000.0,1.0,0.0,250000.00000000006,1.0
-2.775551102204409,100000.0,1.0,0.0,250000.00000000006,1.0
-2.755511022044088,100000.0,1.0,0.0,250000.00000000006,1.0
-2.7354709418837677,100000.0,1.0,0.0,250000.00000000006,1.0
-2.715430861723447,100000.0,1.0,0.0,250000.00000000006,1.0
-2.6953907815631264,100000.0,1.0,0.0,250000.00000000006,1.0
-2.6753507014028055,100000.0,1.0,0.0,250000.00000000006,1.0
-2.655310621242485,100000.0,1.0,0.0,250000.00000000006,1.0
