T,U:0,U:1,U:2,mag(U),p,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
348.432,-3.54157e-13,0,0,3.54157e-13,100000,0.999645,1,0,-5,0,0,0
348.432,-3.95065e-13,0,0,3.95065e-13,100000,0.999645,1,0.0100002,-4.99,0,0,1
348.432,-4.47079e-13,0,0,4.47079e-13,100000,0.999645,1,0.02,-4.98,0,0,2
348.432,-4.86611e-13,0,0,4.86611e-13,100000,0.999645,1,0.0300002,-4.97,0,0,3
348.432,-5.36091e-13,0,0,5.36091e-13,100000,0.999645,1,0.04,-4.96,0,0,4
348.432,-5.33388e-13,0,0,5.33388e-13,100000,0.999645,1,0.0500002,-4.95,0,0,5
348.432,-5.60953e-13,0,0,5.60953e-13,100000,0.999645,1,0.0599999,-4.94,0,0,6
348.432,-6.40201e-13,0,0,6.40201e-13,100000,0.999645,1,0.0700002,-4.93,0,0,7
348.432,-6.96672e-13,0,0,6.96672e-13,100000,0.999645,1,0.0799999,-4.92,0,0,8
348.432,-6.99013e-13,0,0,6.99013e-13,100000,0.999645,1,0.0900002,-4.91,0,0,9
348.432,-6.1501e-13,0,0,6.1501e-13,100000,0.999645,1,0.0999999,-4.9,0,0,10
348.432,-5.86319e-13,0,0,5.86319e-13,100000,0.999645,1,0.11,-4.89,0,0,11
348.432,-6.58887e-13,0,0,6.58887e-13,100000,0.999645,1,0.12,-4.88,0,0,12
348.432,-7.06636e-13,0,0,7.06636e-13,100000,0.999645,1,0.13,-4.87,0,0,13
348.432,-6.91723e-13,0,0,6.91723e-13,100000,0.999645,1,0.14,-4.86,0,0,14
348.432,-6.59642e-13,0,0,6.59642e-13,100000,0.999645,1,0.15,-4.85,0,0,15
348.432,-6.67343e-13,0,0,6.67343e-13,100000,0.999645,1,0.16,-4.84,0,0,16
348.432,-6.983e-13,0,0,6.983e-13,100000,0.999645,1,0.17,-4.83,0,0,17
348.432,-6.65947e-13,0,0,6.65947e-13,100000,0.999645,1,0.18,-4.82,0,0,18
348.432,-5.76223e-13,0,0,5.76223e-13,100000,0.999645,1,0.19,-4.81,0,0,19
348.432,-5.1402e-13,0,0,5.1402e-13,100000,0.999645,1,0.2,-4.8,0,0,20
348.432,-4.57817e-13,0,0,4.57817e-13,100000,0.999645,1,0.21,-4.79,0,0,21
348.432,-4.37953e-13,0,0,4.37953e-13,100000,0.999645,1,0.22,-4.78,0,0,22
348.432,-4.17502e-13,0,0,4.17502e-13,100000,0.999645,1,0.23,-4.77,0,0,23
348.432,-3.47319e-13,0,0,3.47319e-13,100000,0.999645,1,0.24,-4.76,0,0,24
348.432,-3.38884e-13,0,0,3.38884e-13,100000,0.999645,1,0.25,-4.75,0,0,25
348.432,-3.8393e-13,0,0,3.8393e-13,100000,0.999645,1,0.26,-4.74,0,0,26
