T,U:0,U:1,U:2,mag(U),p,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
348.432,2.89704e-12,0,0,2.89704e-12,100000,0.997574,1,0,-5,0,0,0
348.432,2.85787e-12,0,0,2.85787e-12,100000,0.997574,1,0.0100002,-4.99,0,0,1
348.432,2.81871e-12,0,0,2.81871e-12,100000,0.997574,1,0.02,-4.98,0,0,2
348.432,2.77954e-12,0,0,2.77954e-12,100000,0.997574,1,0.0300002,-4.97,0,0,3
348.432,2.74037e-12,0,0,2.74037e-12,100000,0.997574,1,0.04,-4.96,0,0,4
348.432,2.7012e-12,0,0,2.7012e-12,100000,0.997574,1,0.0500002,-4.95,0,0,5
348.432,2.66204e-12,0,0,2.66204e-12,100000,0.997574,1,0.0599999,-4.94,0,0,6
348.432,2.62287e-12,0,0,2.62287e-12,100000,0.997574,1,0.0700002,-4.93,0,0,7
348.432,2.5837e-12,0,0,2.5837e-12,100000,0.997574,1,0.0799999,-4.92,0,0,8
348.432,2.54454e-12,0,0,2.54454e-12,100000,0.997574,1,0.0900002,-4.91,0,0,9
348.432,2.50537e-12,0,0,2.50537e-12,100000,0.997574,1,0.0999999,-4.9,0,0,10
348.432,2.35716e-12,0,0,2.36387e-12,100000,0.997574,1,0.11,-4.89,0,0,11
348.432,2.20896e-12,0,0,2.22238e-12,100000,0.997574,1,0.12,-4.88,0,0,12
348.432,2.06075e-12,0,0,2.08088e-12,100000,0.997574,1,0.13,-4.87,0,0,13
348.432,1.91254e-12,0,0,1.93938e-12,100000,0.997574,1,0.14,-4.86,0,0,14
348.432,1.76433e-12,0,0,1.79788e-12,100000,0.997574,1,0.15,-4.85,0,0,15
348.432,1.61613e-12,0,0,1.65639e-12,100000,0.997574,1,0.16,-4.84,0,0,16
348.432,1.46792e-12,0,0,1.51489e-12,100000,0.997574,1,0.17,-4.83,0,0,17
348.432,1.31971e-12,0,0,1.37339e-12,100000,0.997574,1,0.18,-4.82,0,0,18
348.432,1.1715e-12,0,0,1.23189e-12,100000,0.997574,1,0.19,-4.81,0,0,19
348.432,1.0233e-12,0,0,1.0904e-12,100000,0.997574,1,0.2,-4.8,0,0,20
348.432,9.62761e-13,0,0,1.02986e-12,100000,0.997574,1,0.21,-4.79,0,0,21
348.432,9.02225e-13,0,0,9.69327e-13,100000,0.997574,1,0.22,-4.78,0,0,22
348.432,8.41687e-13,0,0,9.08788e-13,100000,0.997574,1,0.23,-4.77,0,0,23
348.432,7.81151e-13,0,0,8.48253e-13,100000,0.997574,1,0.24,-4.76,0,0,24
348.432,7.20613e-13,0,0,7.87714e-13,100000,0.997574,1,0.25,-4.75,0,0,25
348.432,6.60074e-13,0,0,7.27176e-13,100000,0.997574,1,0.26,-4.74,0,0,26
348.432,5.99539e-13,0,0,6.6664e-13,100000,0.997574,1,0.27,-4.73,0,0,27
348.432,5.39e-13,0,0,6.06102e-13,100000,0.997574,1,0.28,-4.72,0,0,28
348.432,4.78465e-13,0,0,5.45566e-13,100000,0.997574,1,0.29,-4.71,0,0,29
348.432,4.17926e-13,0,0,4.85028e-13,100000,0.997574,1,0.3,-4.7,0,0,30
348.432,4.7766e-13,0,0,5.38051e-13,100000,0.997574,1,0.31,-4.69,0,0,31
348.432,5.37396e-13,0,0,5.91078e-13,100000,0.997574,1,0.32,-4.68,0,0,32
348.432,5.9713e-13,0,0,6.44101e-13,100000,0.997574,1,0.33,-4.67,0,0,33
348.432,6.56866e-13,0,0,6.97127e-13,100000,0.997574,1,0.34,-4.66,0,0,34
348.432,7.166e-13,0,0,7.50151e-13,100000,0.997574,1,0.35,-4.65,0,0,35
348.432,7.76337e-13,0,0,8.03177e-13,100000,0.997574,1,0.36,-4.64,0,0,36
348.432,8.3607e-13,0,0,8.56201e-13,100000,0.997574,1,0.37,-4.63,0,0,37
348.432,8.95807e-13,0,0,9.09227e-13,100000,0.997574,1,0.38,-4.62,0,0,38
348.432,9.5554e-13,0,0,9.62251e-13,100000,0.997574,1,0.39,-4.61,0,0,39
348.432,1.01528e-12,0,0,1.01528e-12,100000,0.997574,1,0.4,-4.6,0,0,40
348.432,1.21804e-12,0,0,1.21804e-12,100000,0.997574,1,0.41,-4.59,0,0,41
348.432,1.4208e-12,0,0,1.4208e-12,100000,0.997574,1,0.42,-4.58,0,0,42
348.432,1.62356e-12,0,0,1.62356e-12,100000,0.997574,1,0.43,-4.57,0,0,43
348.432,1.82633e-12,0,0,1.82633e-12,100000,0.997574,1,0.44,-4.56,0,0,44
348.432,2.02909e-12,0,0,2.02909e-12,100000,0.997574,1,0.45,-4.55,0,0,45
348.432,2.23186e-12,0,0,2.23186e-12,100000,0.997574,1,0.46,-4.54,0,0,46
348.432,2.43462e-12,0,0,2.43462e-12,100000,0.997574,1,0.47,-4.53,0,0,47
348.432,2.63738e-12,0,0,2.63738e-12,100000,0.997574,1,0.48,-4.52,0,0,48
348.432,2.84014e-12,0,0,2.84014e-12,100000,0.997574,1,0.49,-4.51,0,0,49
348.432,3.04291e-12,0,0,3.04291e-12,100000,0.997574,1,0.5,-4.5,0,0,50
348.432,4.00781e-12,0,0,4.00781e-12,100000,0.997574,1,0.51,-4.49,0,0,51
