T,U:0,U:1,U:2,mag(U),p,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
348.432,-8.75238e-14,0,0,8.75238e-14,100000,0.997574,1,0,-5,0,0,0
348.432,-4.88675e-13,0,0,4.88675e-13,100000,0.997574,1,0.0100002,-4.99,0,0,1
348.432,-7.14778e-13,0,0,7.14778e-13,100000,0.997574,1,0.02,-4.98,0,0,2
348.432,-1.43685e-12,0,0,1.43685e-12,100000,0.997574,1,0.0300002,-4.97,0,0,3
348.432,-1.9547e-12,0,0,1.9547e-12,100000,0.997574,1,0.04,-4.96,0,0,4
348.432,-1.44414e-12,0,0,1.44414e-12,100000,0.997574,1,0.0500002,-4.95,0,0,5
348.432,-1.18886e-12,0,0,1.18886e-12,100000,0.997574,1,0.0599999,-4.94,0,0,6
348.432,-2.24279e-12,0,0,2.24279e-12,100000,0.997574,1,0.0700002,-4.93,0,0,7
348.432,-4.00786e-12,0,0,4.00786e-12,100000,0.997574,1,0.0799999,-4.92,0,0,8
348.432,-5.51036e-12,0,0,5.51036e-12,100000,0.997574,1,0.0900002,-4.91,0,0,9
348.432,-4.73722e-12,0,0,4.73722e-12,100000,0.997574,1,0.0999999,-4.9,0,0,10
348.432,-3.3879e-12,0,0,3.3879e-12,100000,0.997574,1,0.11,-4.89,0,0,11
348.432,-1.29462e-12,0,0,1.29462e-12,100000,0.997574,1,0.12,-4.88,0,0,12
348.432,7.51246e-13,0,0,7.51246e-13,100000,0.997574,1,0.13,-4.87,0,0,13
348.432,2.10057e-12,0,0,2.10057e-12,100000,0.997574,1,0.14,-4.86,0,0,14
348.432,1.91823e-12,0,0,1.91823e-12,100000,0.997574,1,0.15,-4.85,0,0,15
348.432,6.1996e-13,0,0,6.1996e-13,100000,0.997574,1,0.16,-4.84,0,0,16
348.432,-5.98079e-13,0,0,5.98079e-13,100000,0.997574,1,0.17,-4.83,0,0,17
348.432,-1.67389e-12,0,0,1.67389e-12,100000,0.997574,1,0.18,-4.82,0,0,18
348.432,-1.62284e-12,0,0,1.62284e-12,100000,0.997574,1,0.19,-4.81,0,0,19
348.432,-2.3522e-12,0,0,2.3522e-12,100000,0.997574,1,0.2,-4.8,0,0,20
348.432,-2.03858e-12,0,0,2.03858e-12,100000,0.997574,1,0.21,-4.79,0,0,21
348.432,-7.73127e-13,0,0,7.73127e-13,100000,0.997574,1,0.22,-4.78,0,0,22
348.432,1.838e-12,0,0,1.838e-12,100000,0.997574,1,0.23,-4.77,0,0,23
348.432,3.08886e-12,0,0,3.08886e-12,100000,0.997574,1,0.24,-4.76,0,0,24
348.432,3.2165e-12,0,0,3.2165e-12,100000,0.997574,1,0.25,-4.75,0,0,25
348.432,2.05681e-12,0,0,2.05681e-12,100000,0.997574,1,0.26,-4.74,0,0,26
348.432,3.97504e-13,0,0,3.97504e-13,100000,0.997574,1,0.27,-4.73,0,0,27
348.432,-1.38579e-12,0,0,1.38579e-12,100000,0.997574,1,0.28,-4.72,0,0,28
348.432,-2.29385e-12,0,0,2.29385e-12,100000,0.997574,1,0.29,-4.71,0,0,29
348.432,-2.71688e-12,0,0,2.71688e-12,100000,0.997574,1,0.3,-4.7,0,0,30
348.432,-1.35662e-12,0,0,1.35662e-12,100000,0.997574,1,0.31,-4.69,0,0,31
348.432,8.7524e-14,0,0,8.7524e-14,100000,0.997574,1,0.32,-4.68,0,0,32
348.432,5.17849e-13,0,0,5.17849e-13,100000,0.997574,1,0.33,-4.67,0,0,33
348.432,-9.77351e-13,0,0,9.77351e-13,100000,0.997574,1,0.34,-4.66,0,0,34
348.432,-2.0714e-12,0,0,2.0714e-12,100000,0.997574,1,0.35,-4.65,0,0,35
348.432,-3.24933e-12,0,0,3.24933e-12,100000,0.997574,1,0.36,-4.64,0,0,36
348.432,-1.60825e-12,0,0,1.60825e-12,100000,0.997574,1,0.37,-4.63,0,0,37
348.432,4.55853e-13,0,0,4.55853e-13,100000,0.997574,1,0.38,-4.62,0,0,38
348.432,7.65835e-14,0,0,7.65835e-14,100000,0.997574,1,0.39,-4.61,0,0,39
348.432,-7.51246e-13,0,0,7.51246e-13,100000,0.997574,1,0.4,-4.6,0,0,40
348.432,-1.98023e-12,0,0,1.98023e-12,100000,0.997574,1,0.41,-4.59,0,0,41
348.432,-4.29231e-12,0,0,4.29231e-12,100000,0.997574,1,0.42,-4.58,0,0,42
348.432,-5.51764e-12,0,0,5.51764e-12,100000,0.997574,1,0.43,-4.57,0,0,43
348.432,-4.52936e-12,0,0,4.52936e-12,100000,0.997574,1,0.44,-4.56,0,0,44
348.432,-3.96775e-12,0,0,3.96775e-12,100000,0.997574,1,0.45,-4.55,0,0,45
348.432,-4.0115e-12,0,0,4.0115e-12,100000,0.997574,1,0.46,-4.54,0,0,46
348.432,-3.59942e-12,0,0,3.59942e-12,100000,0.997574,1,0.47,-4.53,0,0,47
348.432,-3.90575e-12,0,0,3.90575e-12,100000,0.997574,1,0.48,-4.52,0,0,48
348.432,-6.22149e-12,0,0,6.22149e-12,100000,0.997574,1,0.49,-4.51,0,0,49
348.432,-6.67369e-12,0,0,6.67369e-12,100000,0.997574,1,0.5,-4.5,0,0,50
348.432,-4.43454e-12,0,0,4.43454e-12,100000,0.997574,1,0.51,-4.49,0,0,51
348.432,-1.4332e-12,0,0,1.4332e-12,100000,0.997574,1,0.52,-4.48,0,0,52
348.432,3.7927e-13,0,0,3.7927e-13,100000,0.997574,1,0.53,-4.47,0,0,53
348.432,-7.00191e-13,0,0,7.00191e-13,100000,0.997574,1,0.54,-4.46,0,0,54
348.432,-2.50172e-12,0,0,2.50172e-12,100000,0.997574,1,0.55,-4.45,0,0,55
348.432,-4.81016e-12,0,0,4.81016e-12,100000,0.997574,1,0.56,-4.44,0,0,56
348.432,-6.05008e-12,0,0,6.05008e-12,100000,0.997574,1,0.57,-4.43,0,0,57
348.432,-5.32437e-12,0,0,5.32437e-12,100000,0.997574,1,0.58,-4.42,0,0,58
348.432,-3.59212e-12,0,0,3.59212e-12,100000,0.997574,1,0.59,-4.41,0,0,59
348.432,-1.9474e-12,0,0,1.9474e-12,100000,0.997574,1,0.6,-4.4,0,0,60
348.432,-2.15162e-13,0,0,2.15162e-13,100000,0.997574,1,0.61,-4.39,0,0,61
348.432,9.73702e-13,0,0,9.73702e-13,100000,0.997574,1,0.62,-4.38,0,0,62
348.432,2.47984e-12,0,0,2.47984e-12,100000,0.997574,1,0.63,-4.37,0,0,63
348.432,1.52437e-12,0,0,1.52437e-12,100000,0.997574,1,0.64,-4.36,0,0,64
348.432,7.73127e-13,0,0,7.73127e-13,100000,0.997574,1,0.65,-4.35,0,0,65
348.432,2.13704e-12,0,0,2.13704e-12,100000,0.997574,1,0.66,-4.34,0,0,66
348.432,2.78617e-12,0,0,2.78617e-12,100000,0.997574,1,0.67,-4.33,0,0,67
348.432,2.03858e-12,0,0,2.03858e-12,100000,0.997574,1,0.68,-4.32,0,0,68
348.432,2.42149e-12,0,0,2.42149e-12,100000,0.997574,1,0.69,-4.31,0,0,69
348.432,2.57102e-12,0,0,2.57102e-12,100000,0.997574,1,0.7,-4.3,0,0,70
348.432,2.58925e-13,0,0,2.58925e-13,100000,0.997574,1,0.71,-4.29,0,0,71
348.432,-3.31861e-13,0,0,3.31861e-13,100000,0.997574,1,0.72,-4.28,0,0,72
348.432,-2.30114e-12,0,0,2.30114e-12,100000,0.997574,1,0.73,-4.27,0,0,73
348.432,-4.97062e-12,0,0,4.97062e-12,100000,0.997574,1,0.74,-4.26,0,0,74
348.432,-6.61534e-12,0,0,6.61534e-12,100000,0.997574,1,0.75,-4.25,0,0,75
348.432,-6.79039e-12,0,0,6.79039e-12,100000,0.997574,1,0.76,-4.24,0,0,76
348.432,-5.48483e-12,0,0,5.48483e-12,100000,0.997574,1,0.77,-4.23,0,0,77
348.432,-3.89481e-12,0,0,3.89481e-12,100000,0.997574,1,0.78,-4.22,0,0,78
348.432,-2.39596e-12,0,0,2.39596e-12,100000,0.997574,1,0.79,-4.21,0,0,79
348.432,-9.95584e-13,0,0,9.95584e-13,100000,0.997574,1,0.8,-4.2,0,0,80
348.432,-1.96199e-12,0,0,1.96199e-12,100000,0.997574,1,0.81,-4.19,0,0,81
348.432,-1.89635e-12,0,0,1.89635e-12,100000,0.997574,1,0.82,-4.18,0,0,82
348.432,-2.88829e-12,0,0,2.88829e-12,100000,0.997574,1,0.83,-4.17,0,0,83
348.432,-3.30038e-12,0,0,3.30038e-12,100000,0.997574,1,0.84,-4.16,0,0,84
348.432,-5.63434e-12,0,0,5.63434e-12,100000,0.997574,1,0.85,-4.15,0,0,85
348.432,-7.07849e-12,0,0,7.07849e-12,100000,0.997574,1,0.86,-4.14,0,0,86
348.432,-7.34835e-12,0,0,7.34835e-12,100000,0.997574,1,0.87,-4.13,0,0,87
348.432,-8.11783e-12,0,0,8.11783e-12,100000,0.997574,1,0.88,-4.12,0,0,88
348.432,-7.0566e-12,0,0,7.0566e-12,100000,0.997574,1,0.89,-4.11,0,0,89
348.432,-5.10921e-12,0,0,5.10921e-12,100000,0.997574,1,0.9,-4.1,0,0,90
348.432,-3.63224e-12,0,0,3.63224e-12,100000,0.997574,1,0.91,-4.09,0,0,91
348.432,-3.71612e-12,0,0,3.71612e-12,100000,0.997574,1,0.92,-4.08,0,0,92
348.432,-4.09538e-12,0,0,4.09538e-12,100000,0.997574,1,0.93,-4.07,0,0,93
348.432,-4.12091e-12,0,0,4.12091e-12,100000,0.997574,1,0.94,-4.06,0,0,94
348.432,-3.86564e-12,0,0,3.86564e-12,100000,0.997574,1,0.95,-4.05,0,0,95
348.432,-4.17561e-12,0,0,4.17561e-12,100000,0.997574,1,0.96,-4.04,0,0,96
348.432,-5.76563e-12,0,0,5.76563e-12,100000,0.997574,1,0.97,-4.03,0,0,97
348.432,-7.21707e-12,0,0,7.21707e-12,100000,0.997574,1,0.98,-4.02,0,0,98
348.432,-7.43223e-12,0,0,7.43223e-12,100000,0.997574,1,0.99,-4.01,0,0,99
348.432,-8.58828e-12,0,0,8.58828e-12,100000,0.997574,1,1,-4,0,0,100
348.432,-9.2994e-12,0,0,9.2994e-12,100000,0.997574,1,1.01,-3.99,0,0,101
348.432,-8.67579e-12,0,0,8.67579e-12,100000,0.997574,1,1.02,-3.98,0,0,102
348.432,-7.29729e-12,0,0,7.29729e-12,100000,0.997574,1,1.03,-3.97,0,0,103
348.432,-6.50593e-12,0,0,6.50593e-12,100000,0.997574,1,1.04,-3.96,0,0,104
348.432,-5.4666e-12,0,0,5.4666e-12,100000,0.997574,1,1.05,-3.95,0,0,105
348.432,-4.50018e-12,0,0,4.50018e-12,100000,0.997574,1,1.06,-3.94,0,0,106
348.432,-3.67965e-12,0,0,3.67965e-12,100000,0.997574,1,1.07,-3.93,0,0,107
348.432,-3.25662e-12,0,0,3.25662e-12,100000,0.997574,1,1.08,-3.92,0,0,108
348.432,-2.56007e-12,0,0,2.56007e-12,100000,0.997574,1,1.09,-3.91,0,0,109
348.432,-1.50978e-12,0,0,1.50978e-12,100000,0.997574,1,1.1,-3.9,0,0,110
348.432,-2.9831e-12,0,0,2.9831e-12,100000,0.997574,1,1.11,-3.89,0,0,111
348.432,-5.64893e-12,0,0,5.64893e-12,100000,0.997574,1,1.12,-3.88,0,0,112
348.432,-7.22436e-12,0,0,7.22436e-12,100000,0.997574,1,1.13,-3.87,0,0,113
348.432,-8.54087e-12,0,0,8.54087e-12,100000,0.997574,1,1.14,-3.86,0,0,114
