T,U:0,U:1,U:2,mag(U),p,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
348.432,-3.36967e-12,0,0,3.36967e-12,100000,0.997574,1,0,-5,0,0,0
348.432,-4.33973e-12,0,0,4.33973e-12,100000,0.997574,1,0.0100002,-4.99,0,0,1
348.432,-3.48637e-12,0,0,3.48637e-12,100000,0.997574,1,0.02,-4.98,0,0,2
348.432,-1.97658e-12,0,0,1.97658e-12,100000,0.997574,1,0.0300002,-4.97,0,0,3
348.432,1.09404e-13,0,0,3.28215e-13,100000,0.997574,1,0.04,-4.96,0,0,4
348.432,1.18886e-12,0,0,1.18886e-12,100000,0.997574,1,0.0500002,-4.95,0,0,5
348.432,-3.71976e-13,0,0,3.71976e-13,100000,0.997574,1,0.0599999,-4.94,0,0,6
348.432,-3.01957e-12,0,0,3.01957e-12,100000,0.997574,1,0.0700002,-4.93,0,0,7
348.432,-5.31707e-12,0,0,5.31707e-12,100000,0.997574,1,0.0799999,-4.92,0,0,8
348.432,-5.54317e-12,0,0,5.54317e-12,100000,0.997574,1,0.0900002,-4.91,0,0,9
348.432,-6.02455e-12,0,0,6.02455e-12,100000,0.997574,1,0.0999999,-4.9,0,0,10
348.432,-4.79922e-12,0,0,4.79922e-12,100000,0.997574,1,0.11,-4.89,0,0,11
348.432,-4.25949e-12,0,0,4.25949e-12,100000,0.997574,1,0.12,-4.88,0,0,12
348.432,-3.37696e-12,0,0,3.37696e-12,100000,0.997574,1,0.13,-4.87,0,0,13
348.432,-3.50825e-12,0,0,3.50825e-12,100000,0.997574,1,0.14,-4.86,0,0,14
348.432,-3.4353e-12,0,0,3.4353e-12,100000,0.997574,1,0.15,-4.85,0,0,15
348.432,-3.13627e-12,0,0,3.13627e-12,100000,0.997574,1,0.16,-4.84,0,0,16
348.432,-2.58196e-12,0,0,2.58196e-12,100000,0.997574,1,0.17,-4.83,0,0,17
348.432,-1.05029e-12,0,0,1.05029e-12,100000,0.997574,1,0.18,-4.82,0,0,18
348.432,-1.10863e-12,0,0,1.10863e-12,100000,0.997574,1,0.19,-4.81,0,0,19
348.432,-1.87447e-12,0,0,1.87447e-12,100000,0.997574,1,0.2,-4.8,0,0,20
348.432,-3.85104e-12,0,0,3.85104e-12,100000,0.997574,1,0.21,-4.79,0,0,21
348.432,-6.54241e-12,0,0,6.54241e-12,100000,0.997574,1,0.22,-4.78,0,0,22
348.432,-7.70939e-12,0,0,7.70939e-12,100000,0.997574,1,0.23,-4.77,0,0,23
348.432,-7.81879e-12,0,0,7.81879e-12,100000,0.997574,1,0.24,-4.76,0,0,24
348.432,-7.36658e-12,0,0,7.36658e-12,100000,0.997574,1,0.25,-4.75,0,0,25
348.432,-6.79039e-12,0,0,6.79039e-12,100000,0.997574,1,0.26,-4.74,0,0,26
348.432,-5.5067e-12,0,0,5.5067e-12,100000,0.997574,1,0.27,-4.73,0,0,27
348.432,-4.79923e-12,0,0,4.79923e-12,100000,0.997574,1,0.28,-4.72,0,0,28
348.432,-4.3616e-12,0,0,4.3616e-12,100000,0.997574,1,0.29,-4.71,0,0,29
348.432,-4.74087e-12,0,0,4.74087e-12,100000,0.997574,1,0.3,-4.7,0,0,30
348.432,-4.78463e-12,0,0,4.78463e-12,100000,0.997574,1,0.31,-4.69,0,0,31
348.432,-5.73281e-12,0,0,5.73281e-12,100000,0.997574,1,0.32,-4.68,0,0,32
348.432,-7.2353e-12,0,0,7.2353e-12,100000,0.997574,1,0.33,-4.67,0,0,33
348.432,-8.92014e-12,0,0,8.92014e-12,100000,0.997574,1,0.34,-4.66,0,0,34
348.432,-9.19729e-12,0,0,9.19729e-12,100000,0.997574,1,0.35,-4.65,0,0,35
348.432,-7.62186e-12,0,0,7.62186e-12,100000,0.997574,1,0.36,-4.64,0,0,36
348.432,-5.27331e-12,0,0,5.27331e-12,100000,0.997574,1,0.37,-4.63,0,0,37
348.432,-1.89635e-12,0,0,1.89635e-12,100000,0.997574,1,0.38,-4.62,0,0,38
348.432,5.32437e-13,0,0,5.32437e-13,100000,0.997574,1,0.39,-4.61,0,0,39
348.432,5.61611e-13,0,0,5.61611e-13,100000,0.997574,1,0.4,-4.6,0,0,40
348.432,-9.11706e-13,0,0,9.11706e-13,100000,0.997574,1,0.41,-4.59,0,0,41
348.432,-2.37044e-12,0,0,2.37044e-12,100000,0.997574,1,0.42,-4.58,0,0,42
348.432,-5.12014e-12,0,0,5.12014e-12,100000,0.997574,1,0.43,-4.57,0,0,43
348.432,-7.65834e-12,0,0,7.65834e-12,100000,0.997574,1,0.44,-4.56,0,0,44
348.432,-9.64951e-12,0,0,9.64951e-12,100000,0.997574,1,0.45,-4.55,0,0,45
348.432,-1.02184e-11,0,0,1.02184e-11,100000,0.997574,1,0.46,-4.54,0,0,46
348.432,-1.10791e-11,0,0,1.10791e-11,100000,0.997574,1,0.47,-4.53,0,0,47
348.432,-7.76774e-12,0,0,7.76774e-12,100000,0.997574,1,0.48,-4.52,0,0,48
